Title,Speakers,Talk URL,Talk Thumbnail URL
Rise of the robots,['Catherine Mohr'],http://www.inktalks.com/discover/811/catherine-mohr-rise-of-the-robots,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Catherine_Mohr.jpg
Bewitching barnacles and wily wasps,['Anand Varma'],http://www.inktalks.com/discover/809/anand-varma-bewitching-barnacles-and-wily-wasps,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Anand_Varma.jpg
Branding in the age of social media,['Charles Cadell'],http://www.inktalks.com/discover/808/charles-cadell-branding-in-the-age-of-social-media, https://s3.amazonaws.com/VideoThumbnails/INKasia2015talks/INKAsia2015_Charles_Cadell.jpg
Seeing no obstacles,['Srikanth Bolla'],http://www.inktalks.com/discover/807/srikanth-bolla-seeing-no-obstacles,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Srikanth_Bolla.jpg
The business case for open society,['Rashesh Shah'],http://www.inktalks.com/discover/806/rashesh-shah-the-business-case-for-open-society,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Rashesh_Shah.jpg
Fueling Singapore's giving spirit,['Melissa Kwee'],http://www.inktalks.com/discover/805/melissa-kwee-fueling-singapore-s-giving-spirit,https://s3.amazonaws.com/VideoThumbnails/INKasia2015talks/INKAsia2015_Melissa_Kwee.jpg
Returning stolen art to India,['Anuraag Saxena'],http://www.inktalks.com/discover/803/anuraag-saxena-returning-stolen-art-to-india,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK_2015_Anuraag_Saxena.jpg
Growing bone from your own cells,['Nina Tandon'],http://www.inktalks.com/discover/804/nina-tandon-growing-bone-from-your-own-cells,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK_2015_Nina_Tandon.jpg
Brand leadership and the right to win,['Harsh Mariwala'],http://www.inktalks.com/discover/802/harsh-mariwala-brand-leadership-and-the-right-to-win,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK_2015_Harsh_Mariwala.jpg
Crowdfunding for the arts in India,['Anshulika Dubey'],http://www.inktalks.com/discover/801/anshulika-dubey-crowdfunding-for-the-arts-in-India,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Anshukila_Dubey.jpg
My journey in vision,['Dr. Balamurali Ambati'],http://www.inktalks.com/discover/800/bala-ambati-my-journey-in-vision,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Balamurali_Ambati.jpg
Unexpected twists,['Haleem Khan'],http://www.inktalks.com/discover/799/haleem-khan-unexpected-twists,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Haleem_Khan.jpg
From victim to trailblazer,['Flavia Agnes'],http://www.inktalks.com/discover/796/flavia-agnes-from-victim-to-trailblazer,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Flavia_Agnes.jpg
Boondan Boondan ,['Maati Baani'],http://www.inktalks.com/discover/798/maati-baani-boondan-boondan,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Maati_Baani.jpg
Leveraging business for social impact,['Vidya Shah'],http://www.inktalks.com/discover/797/vidya-shah-leveraging-business-for-social-impact,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Vidya_Shah.jpg
Fame’s lesson plan ,['Josh Radnor'],http://www.inktalks.com/discover/794/josh-radnor-fame-s-lesson-plan,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Josh_Radnor.jpg
"Learn, unlearn, relearn",['Kirthiga Reddy'],http://www.inktalks.com/discover/793/kirthiga-reddy-learn-unlearn-relearn,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Kirthiga_Reddy.jpg
Spell of the story,['Irrfan Khan'],http://www.inktalks.com/discover/792/irrfan-khan-spell-of-the-story,https://s3.amazonaws.com/VideoThumbnails/INK2015talks/INK2015_Irrfan_Khan.jpg
Street art diaries,['Harshvardhan Kadam'],http://www.inktalks.com/discover/791/harshvardhan-kadam-street-art-diaries,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2015_Harshvardhan_Kadam.jpg
